FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Bar 10%;9/2/2025;167;10,0%;289,60 €;263,17 €
Bar 20%;9/2/2025;216;20,0%;500,10 €;416,73 €
Boissons à emporter;9/2/2025;4;5,5%;8,00 €;7,58 €
Briquets;9/2/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;9/2/2025;2;20,0%;6,00 €;5,00 €
Confiserie 5,5%;9/2/2025;5;5,5%;7,90 €;7,50 €
Jeux instantanés;9/2/2025;275;0,0%;1 013,00 €;1 013,00 €
Loto;9/2/2025;72;0,0%;1 173,00 €;1 173,00 €
MONETIQUE 0 %;9/2/2025;2;0,0%;70,00 €;70,00 €
Papier tubes et filtres;9/2/2025;21;20,0%;36,80 €;30,67 €
Tabac;9/2/2025;215;0,0%;3 034,70 €;3 034,70 €
Timbres poste;9/2/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;10/2/2025;12;20,0%;26,00 €;21,68 €
Articles Divers Logista 20%;10/2/2025;1;20,0%;4,50 €;3,75 €
Articles Divers Logista 5,5%;10/2/2025;1;5,5%;9,90 €;9,38 €
Bar 10%;10/2/2025;164;10,0%;233,80 €;212,37 €
Bar 20%;10/2/2025;110;20,0%;419,50 €;349,61 €
Boissons à emporter;10/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;10/2/2025;4;20,0%;7,40 €;6,18 €
Chewing Gum;10/2/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;10/2/2025;1;20,0%;4,80 €;4,00 €
Jeux instantanés;10/2/2025;359;0,0%;1 537,00 €;1 537,00 €
Loto;10/2/2025;115;0,0%;1 077,70 €;1 077,70 €
MONETIQUE 0 %;10/2/2025;1;0,0%;50,00 €;50,00 €
Papier tubes et filtres;10/2/2025;59;20,0%;100,90 €;84,13 €
Tabac;10/2/2025;414;0,0%;5 787,55 €;5 787,55 €
TELEPHONIE 20.00 %;10/2/2025;1;20,0%;10,00 €;8,33 €
Timbres poste;10/2/2025;3;0,0%;19,46 €;19,46 €
 paiement proximite;11/2/2025;1;0,0%;89,07 €;89,07 €
Accessoires fumeurs;11/2/2025;11;20,0%;20,60 €;17,18 €
Articles Divers Logista 20%;11/2/2025;21;20,0%;174,00 €;145,00 €
Bar 10%;11/2/2025;144;10,0%;224,80 €;204,24 €
Bar 20%;11/2/2025;129;20,0%;401,70 €;334,79 €
Boissons à emporter;11/2/2025;2;5,5%;5,00 €;4,74 €
Briquets;11/2/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;11/2/2025;1;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;11/2/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;11/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;11/2/2025;5;5,5%;10,30 €;9,77 €
Jeux instantanés;11/2/2025;293;0,0%;1 201,00 €;1 201,00 €
Loto;11/2/2025;88;0,0%;1 082,60 €;1 082,60 €
MONETIQUE 0 %;11/2/2025;2;0,0%;80,00 €;80,00 €
Papier tubes et filtres;11/2/2025;36;20,0%;76,80 €;64,01 €
Tabac;11/2/2025;327;0,0%;4 436,95 €;4 436,95 €
Timbres poste;11/2/2025;2;0,0%;33,36 €;33,36 €
Accessoires fumeurs;12/2/2025;4;20,0%;15,80 €;13,17 €
Articles Divers Logista 20%;12/2/2025;4;20,0%;41,90 €;34,92 €
Bar 10%;12/2/2025;161;10,0%;257,40 €;233,83 €
Bar 20%;12/2/2025;217;20,0%;528,10 €;440,07 €
Boissons à emporter;12/2/2025;5;5,5%;12,50 €;11,85 €
Briquets;12/2/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;12/2/2025;4;20,0%;9,00 €;7,50 €
Cigarettes Electroniques;12/2/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;12/2/2025;4;20,0%;6,80 €;5,68 €
Confiserie 5,5%;12/2/2025;5;5,5%;11,00 €;10,43 €
Jeux instantanés;12/2/2025;322;0,0%;1 345,00 €;1 345,00 €
Loto;12/2/2025;85;0,0%;1 278,10 €;1 278,10 €
MONETIQUE 0 %;12/2/2025;4;0,0%;70,00 €;70,00 €
Papier tubes et filtres;12/2/2025;28;20,0%;51,10 €;42,60 €
Tabac;12/2/2025;335;0,0%;4 522,15 €;4 522,15 €
TELEPHONIE 20.00 %;12/2/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;12/2/2025;1;0,0%;16,68 €;16,68 €
Accessoires fumeurs;13/2/2025;11;20,0%;24,20 €;20,18 €
Articles Divers Logista 20%;13/2/2025;2;20,0%;26,40 €;22,00 €
Bar 10%;13/2/2025;180;10,0%;279,20 €;253,67 €
Bar 20%;13/2/2025;205;20,0%;524,30 €;436,92 €
Boissons à emporter;13/2/2025;4;5,5%;10,00 €;9,48 €
Briquets;13/2/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;13/2/2025;5;20,0%;13,50 €;11,25 €
Confiserie 20%;13/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;13/2/2025;4;5,5%;7,70 €;7,31 €
Jeux instantanés;13/2/2025;336;0,0%;1 364,00 €;1 364,00 €
Loto;13/2/2025;112;0,0%;1 282,40 €;1 282,40 €
MONETIQUE 0 %;13/2/2025;4;0,0%;90,00 €;90,00 €
Papier tubes et filtres;13/2/2025;30;20,0%;56,20 €;46,87 €
Tabac;13/2/2025;400;0,0%;5 350,65 €;5 350,65 €
Timbres poste;13/2/2025;2;0,0%;18,07 €;18,07 €
Accessoires fumeurs;14/2/2025;11;20,0%;25,50 €;21,24 €
Articles Divers Logista 20%;14/2/2025;13;20,0%;98,50 €;82,08 €
Bar 10%;14/2/2025;149;10,0%;233,90 €;212,51 €
Bar 20%;14/2/2025;207;20,0%;575,30 €;479,41 €
Boissons à emporter;14/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;14/2/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;14/2/2025;3;20,0%;6,00 €;5,00 €
Confiserie 5,5%;14/2/2025;5;5,5%;9,10 €;8,63 €
Jeux instantanés;14/2/2025;490;0,0%;1 985,00 €;1 985,00 €
Loto;14/2/2025;178;0,0%;1 864,90 €;1 864,90 €
MONETIQUE 0 %;14/2/2025;5;0,0%;140,00 €;140,00 €
Papier tubes et filtres;14/2/2025;50;20,0%;93,40 €;77,86 €
Tabac;14/2/2025;392;0,0%;5 412,25 €;5 412,25 €
Timbres poste;14/2/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;15/2/2025;24;20,0%;57,40 €;47,86 €
Articles Divers Logista 20%;15/2/2025;7;20,0%;63,35 €;52,80 €
Bar 10%;15/2/2025;186;10,0%;305,20 €;277,25 €
Bar 20%;15/2/2025;177;20,0%;450,10 €;375,05 €
Boissons à emporter;15/2/2025;7;5,5%;15,50 €;14,69 €
Briquets;15/2/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;15/2/2025;4;20,0%;9,00 €;7,50 €
Cigarettes Electroniques;15/2/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;15/2/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;15/2/2025;6;5,5%;12,00 €;11,39 €
Jeux instantanés;15/2/2025;303;0,0%;1 222,00 €;1 222,00 €
Loto;15/2/2025;101;0,0%;1 354,30 €;1 354,30 €
MONETIQUE 0 %;15/2/2025;3;0,0%;30,00 €;30,00 €
Papier tubes et filtres;15/2/2025;61;20,0%;108,20 €;90,19 €
Tabac;15/2/2025;387;0,0%;5 374,95 €;5 374,95 €
Timbres poste;15/2/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;16/2/2025;4;20,0%;14,60 €;12,17 €
Articles Divers Logista 20%;16/2/2025;9;20,0%;68,50 €;57,09 €
Bar 10%;16/2/2025;193;10,0%;324,00 €;294,34 €
Bar 20%;16/2/2025;248;20,0%;573,50 €;477,93 €
Boissons à emporter;16/2/2025;8;5,5%;16,00 €;15,16 €
Chewing Gum;16/2/2025;3;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;16/2/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;16/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;16/2/2025;5;5,5%;10,00 €;9,49 €
Jeux instantanés;16/2/2025;331;0,0%;1 352,00 €;1 352,00 €
Loto;16/2/2025;94;0,0%;772,90 €;772,90 €
MONETIQUE 0 %;16/2/2025;3;0,0%;45,00 €;45,00 €
Papier tubes et filtres;16/2/2025;26;20,0%;45,10 €;37,57 €
Tabac;16/2/2025;252;0,0%;3 296,50 €;3 296,50 €
Timbres poste;16/2/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;17/2/2025;10;20,0%;23,40 €;19,50 €
Articles Divers Logista 20%;17/2/2025;5;20,0%;50,30 €;41,92 €
Bar 10%;17/2/2025;144;10,0%;225,10 €;204,49 €
Bar 20%;17/2/2025;159;20,0%;499,20 €;415,97 €
Boissons à emporter;17/2/2025;3;5,5%;7,50 €;7,11 €
Briquets;17/2/2025;5;20,0%;8,80 €;7,35 €
Chewing Gum;17/2/2025;3;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;17/2/2025;2;20,0%;9,60 €;8,00 €
Confiserie 20%;17/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;17/2/2025;4;5,5%;10,10 €;9,56 €
E-BUSINESS 0 %;17/2/2025;1;0,0%;20,00 €;20,00 €
Jeux instantanés;17/2/2025;229;0,0%;903,00 €;903,00 €
Loto;17/2/2025;99;0,0%;1 242,30 €;1 242,30 €
Papier tubes et filtres;17/2/2025;30;20,0%;58,70 €;48,94 €
Tabac;17/2/2025;379;0,0%;5 126,70 €;5 126,70 €
TELEPHONIE 20.00 %;17/2/2025;2;20,0%;15,00 €;12,50 €
Timbres poste;17/2/2025;6;0,0%;54,21 €;54,21 €
Accessoires fumeurs;18/2/2025;8;20,0%;16,30 €;13,59 €
Bar 10%;18/2/2025;168;10,0%;273,60 €;248,55 €
Bar 20%;18/2/2025;157;20,0%;454,00 €;378,34 €
Boissons à emporter;18/2/2025;3;5,5%;7,50 €;7,11 €
Briquets;18/2/2025;2;20,0%;3,70 €;3,09 €
Chewing Gum;18/2/2025;1;20,0%;3,00 €;2,50 €
Confiserie 20%;18/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;18/2/2025;2;5,5%;3,80 €;3,61 €
Jeux instantanés;18/2/2025;284;0,0%;1 118,00 €;1 118,00 €
Loto;18/2/2025;83;0,0%;1 058,90 €;1 058,90 €
MONETIQUE 0 %;18/2/2025;4;0,0%;190,00 €;190,00 €
Papier tubes et filtres;18/2/2025;39;20,0%;70,30 €;58,60 €
Tabac;18/2/2025;357;0,0%;4 996,15 €;4 996,15 €
Timbres poste;18/2/2025;4;0,0%;20,85 €;20,85 €
Accessoires fumeurs;19/2/2025;17;20,0%;80,60 €;67,18 €
Articles Divers Logista 20%;19/2/2025;13;20,0%;118,40 €;98,67 €
Bar 10%;19/2/2025;137;10,0%;212,90 €;193,39 €
Bar 20%;19/2/2025;172;20,0%;400,50 €;333,71 €
Boissons à emporter;19/2/2025;2;5,5%;4,00 €;3,79 €
Briquets;19/2/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;19/2/2025;3;20,0%;4,30 €;3,58 €
Confiserie 5,5%;19/2/2025;1;5,5%;2,80 €;2,65 €
Jeux instantanés;19/2/2025;254;0,0%;1 050,00 €;1 050,00 €
Loto;19/2/2025;70;0,0%;758,30 €;758,30 €
MONETIQUE 0 %;19/2/2025;2;0,0%;120,00 €;120,00 €
Papier tubes et filtres;19/2/2025;46;20,0%;80,60 €;67,20 €
Tabac;19/2/2025;382;0,0%;5 173,75 €;5 173,75 €
Timbres poste;19/2/2025;7;0,0%;9,73 €;9,73 €
Accessoires fumeurs;20/2/2025;7;20,0%;16,00 €;13,34 €
Articles Divers Logista 20%;20/2/2025;2;20,0%;17,00 €;14,16 €
Bar 10%;20/2/2025;152;10,0%;228,80 €;207,85 €
Bar 20%;20/2/2025;224;20,0%;535,10 €;445,92 €
Boissons à emporter;20/2/2025;2;5,5%;5,00 €;4,74 €
Chewing Gum;20/2/2025;4;20,0%;7,50 €;6,25 €
Confiserie 20%;20/2/2025;2;20,0%;3,40 €;2,83 €
Confiserie 5,5%;20/2/2025;3;5,5%;5,20 €;4,93 €
Jeux instantanés;20/2/2025;302;0,0%;1 138,00 €;1 138,00 €
Loto;20/2/2025;97;0,0%;818,20 €;818,20 €
Papier tubes et filtres;20/2/2025;36;20,0%;68,30 €;56,92 €
Tabac;20/2/2025;330;0,0%;4 721,25 €;4 721,25 €
Timbres poste;20/2/2025;5;0,0%;6,95 €;6,95 €
Accessoires fumeurs;21/2/2025;10;20,0%;25,60 €;21,35 €
Articles Divers Logista 20%;21/2/2025;27;20,0%;245,30 €;204,43 €
Bar 10%;21/2/2025;152;10,0%;230,90 €;209,80 €
Bar 20%;21/2/2025;207;20,0%;591,40 €;492,74 €
Boissons à emporter;21/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;21/2/2025;4;20,0%;8,90 €;7,43 €
Chewing Gum;21/2/2025;2;20,0%;4,30 €;3,58 €
Cigarettes Electroniques;21/2/2025;5;20,0%;24,00 €;20,00 €
Confiserie 5,5%;21/2/2025;7;5,5%;14,50 €;13,75 €
Jeux instantanés;21/2/2025;370;0,0%;1 469,00 €;1 469,00 €
Loto;21/2/2025;132;0,0%;992,70 €;992,70 €
MONETIQUE 0 %;21/2/2025;18;0,0%;1 664,00 €;1 664,00 €
Papier tubes et filtres;21/2/2025;41;20,0%;70,20 €;58,52 €
Tabac;21/2/2025;461;0,0%;6 269,40 €;6 269,40 €
TELEPHONIE 20.00 %;21/2/2025;2;20,0%;29,99 €;25,00 €
Timbres poste;21/2/2025;7;0,0%;25,02 €;25,02 €
Accessoires fumeurs;22/2/2025;12;20,0%;30,50 €;25,40 €
Articles Divers Logista 20%;22/2/2025;8;20,0%;64,50 €;53,74 €
Bar 10%;22/2/2025;190;10,0%;294,60 €;267,61 €
Bar 20%;22/2/2025;136;20,0%;300,80 €;250,63 €
Boissons à emporter;22/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;22/2/2025;2;20,0%;4,00 €;3,34 €
Chewing Gum;22/2/2025;8;20,0%;16,10 €;13,41 €
Cigarettes Electroniques;22/2/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;22/2/2025;2;20,0%;3,40 €;2,83 €
Confiserie 5,5%;22/2/2025;6;5,5%;11,00 €;10,43 €
Jeux instantanés;22/2/2025;389;0,0%;1 528,00 €;1 528,00 €
Loto;22/2/2025;126;0,0%;1 313,80 €;1 313,80 €
MONETIQUE 0 %;22/2/2025;4;0,0%;60,00 €;60,00 €
Papier tubes et filtres;22/2/2025;35;20,0%;63,10 €;52,58 €
Tabac;22/2/2025;350;0,0%;4 691,35 €;4 691,35 €
TELEPHONIE 20.00 %;22/2/2025;1;20,0%;14,99 €;12,49 €
Timbres poste;22/2/2025;3;0,0%;34,75 €;34,75 €
 paiement proximite;23/2/2025;1;0,0%;22,00 €;22,00 €
Accessoires fumeurs;23/2/2025;7;20,0%;18,50 €;15,42 €
Articles Divers Logista 20%;23/2/2025;3;20,0%;21,00 €;17,50 €
Bar 10%;23/2/2025;146;10,0%;242,70 €;220,51 €
Bar 20%;23/2/2025;166;20,0%;482,10 €;401,70 €
Boissons à emporter;23/2/2025;17;5,5%;41,50 €;39,34 €
Briquets;23/2/2025;2;20,0%;3,40 €;2,84 €
Confiserie 20%;23/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;23/2/2025;6;5,5%;10,60 €;10,05 €
Jeux instantanés;23/2/2025;489;0,0%;2 076,00 €;2 076,00 €
Loto;23/2/2025;123;0,0%;1 342,10 €;1 342,10 €
MONETIQUE 0 %;23/2/2025;4;0,0%;428,00 €;428,00 €
Papier tubes et filtres;23/2/2025;27;20,0%;48,20 €;40,17 €
Tabac;23/2/2025;230;0,0%;3 108,15 €;3 108,15 €
TELEPHONIE 20.00 %;23/2/2025;2;20,0%;39,99 €;33,33 €
 paiement proximite;24/2/2025;1;0,0%;30,00 €;30,00 €
Accessoires fumeurs;24/2/2025;10;20,0%;27,40 €;22,84 €
Articles Divers Logista 20%;24/2/2025;12;20,0%;95,90 €;79,91 €
Bar 10%;24/2/2025;120;10,0%;173,70 €;157,77 €
Bar 20%;24/2/2025;178;20,0%;539,70 €;449,74 €
Briquets;24/2/2025;4;20,0%;6,80 €;5,68 €
Cigarettes Electroniques;24/2/2025;6;20,0%;28,80 €;24,00 €
Confiserie 20%;24/2/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;24/2/2025;4;5,5%;8,50 €;8,06 €
E-BUSINESS 0 %;24/2/2025;1;0,0%;50,00 €;50,00 €
Jeux instantanés;24/2/2025;261;0,0%;1 053,00 €;1 053,00 €
Loto;24/2/2025;97;0,0%;927,60 €;927,60 €
MONETIQUE 0 %;24/2/2025;7;0,0%;1 327,00 €;1 327,00 €
Papier tubes et filtres;24/2/2025;56;20,0%;95,30 €;79,46 €
Tabac;24/2/2025;380;0,0%;5 212,35 €;5 212,35 €
Timbres poste;24/2/2025;6;0,0%;38,92 €;38,92 €
Accessoires fumeurs;25/2/2025;14;20,0%;35,79 €;29,85 €
Articles Divers Logista 20%;25/2/2025;4;20,0%;22,00 €;18,33 €
Bar 10%;25/2/2025;133;10,0%;207,30 €;188,30 €
Bar 20%;25/2/2025;145;20,0%;534,90 €;445,79 €
Boissons à emporter;25/2/2025;1;5,5%;2,50 €;2,37 €
Briquets;25/2/2025;6;20,0%;10,50 €;8,77 €
Chewing Gum;25/2/2025;3;20,0%;6,00 €;5,00 €
Confiserie 20%;25/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;25/2/2025;6;5,5%;10,80 €;10,24 €
Jeux instantanés;25/2/2025;302;0,0%;1 193,00 €;1 193,00 €
Loto;25/2/2025;97;0,0%;1 021,00 €;1 021,00 €
MONETIQUE 0 %;25/2/2025;5;0,0%;675,50 €;675,50 €
Papier tubes et filtres;25/2/2025;33;20,0%;55,60 €;46,36 €
Tabac;25/2/2025;376;0,0%;5 065,20 €;5 065,20 €
Timbres poste;25/2/2025;3;0,0%;19,46 €;19,46 €
Accessoires fumeurs;26/2/2025;17;20,0%;45,80 €;38,17 €
Articles Divers Logista 20%;26/2/2025;7;20,0%;58,40 €;48,66 €
Bar 10%;26/2/2025;138;10,0%;246,60 €;224,06 €
Bar 20%;26/2/2025;161;20,0%;439,10 €;365,97 €
Chewing Gum;26/2/2025;4;20,0%;10,50 €;8,75 €
Confiserie 20%;26/2/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;26/2/2025;3;5,5%;2,90 €;2,75 €
Jeux instantanés;26/2/2025;428;0,0%;1 811,00 €;1 811,00 €
Loto;26/2/2025;113;0,0%;898,10 €;898,10 €
MONETIQUE 0 %;26/2/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;26/2/2025;53;20,0%;93,20 €;77,67 €
Tabac;26/2/2025;347;0,0%;4 723,75 €;4 723,75 €
TELEPHONIE 20.00 %;26/2/2025;1;20,0%;10,00 €;8,33 €
Timbres poste;26/2/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;27/2/2025;19;20,0%;67,90 €;56,60 €
Articles Divers Logista 20%;27/2/2025;4;20,0%;45,30 €;37,75 €
Bar 10%;27/2/2025;132;10,0%;207,30 €;188,28 €
Bar 20%;27/2/2025;155;20,0%;370,50 €;308,73 €
Boissons à emporter;27/2/2025;5;5,5%;12,50 €;11,85 €
Briquets;27/2/2025;4;20,0%;7,40 €;6,18 €
Chewing Gum;27/2/2025;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;27/2/2025;2;5,5%;3,70 €;3,51 €
Jeux instantanés;27/2/2025;380;0,0%;1 749,00 €;1 749,00 €
Loto;27/2/2025;67;0,0%;467,70 €;467,70 €
MONETIQUE 0 %;27/2/2025;8;0,0%;641,50 €;641,50 €
Papier tubes et filtres;27/2/2025;23;20,0%;39,60 €;33,01 €
Tabac;27/2/2025;365;0,0%;4 773,15 €;4 773,15 €
TELEPHONIE 20.00 %;27/2/2025;1;20,0%;5,00 €;4,17 €
Timbres poste;27/2/2025;2;0,0%;2,78 €;2,78 €
Accessoires fumeurs;28/2/2025;15;20,0%;40,60 €;33,84 €
Articles Divers Logista 20%;28/2/2025;10;20,0%;85,00 €;70,84 €
Bar 10%;28/2/2025;148;10,0%;259,70 €;235,91 €
Bar 20%;28/2/2025;159;20,0%;506,80 €;422,29 €
Boissons à emporter;28/2/2025;2;5,5%;5,00 €;4,74 €
Briquets;28/2/2025;5;20,0%;8,50 €;7,10 €
Chewing Gum;28/2/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;28/2/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;28/2/2025;4;5,5%;9,30 €;8,82 €
Jeux instantanés;28/2/2025;520;0,0%;2 362,00 €;2 362,00 €
Loto;28/2/2025;123;0,0%;1 021,40 €;1 021,40 €
MONETIQUE 0 %;28/2/2025;5;0,0%;114,00 €;114,00 €
Papier tubes et filtres;28/2/2025;56;20,0%;100,60 €;83,88 €
Tabac;28/2/2025;430;0,0%;6 088,80 €;6 088,80 €
TELEPHONIE 20.00 %;28/2/2025;1;20,0%;9,99 €;8,33 €
Accessoires fumeurs;1/3/2025;18;20,0%;46,20 €;38,51 €
Articles Divers Logista 20%;1/3/2025;8;20,0%;86,80 €;72,34 €
Bar 10%;1/3/2025;133;10,0%;201,40 €;182,97 €
Bar 20%;1/3/2025;169;20,0%;446,70 €;372,23 €
Boissons à emporter;1/3/2025;3;5,5%;7,50 €;7,11 €
Briquets;1/3/2025;1;20,0%;1,70 €;1,42 €
Chewing Gum;1/3/2025;2;20,0%;6,00 €;5,00 €
Confiserie 20%;1/3/2025;5;20,0%;8,50 €;7,09 €
Confiserie 5,5%;1/3/2025;4;5,5%;7,20 €;6,83 €
Jeux instantanés;1/3/2025;325;0,0%;1 561,00 €;1 561,00 €
Loto;1/3/2025;79;0,0%;778,80 €;778,80 €
MONETIQUE 0 %;1/3/2025;2;0,0%;20,00 €;20,00 €
Papier tubes et filtres;1/3/2025;51;20,0%;86,90 €;72,44 €
Tabac;1/3/2025;471;0,0%;6 485,50 €;6 485,50 €
TELEPHONIE 20.00 %;1/3/2025;1;20,0%;5,00 €;4,17 €
Accessoires fumeurs;2/3/2025;13;20,0%;68,90 €;57,42 €
Articles Divers Logista 20%;2/3/2025;5;20,0%;35,50 €;29,58 €
Bar 10%;2/3/2025;143;10,0%;251,90 €;228,90 €
Bar 20%;2/3/2025;231;20,0%;601,20 €;500,98 €
Boissons à emporter;2/3/2025;11;5,5%;23,50 €;22,28 €
Briquets;2/3/2025;3;20,0%;5,70 €;4,76 €
Chewing Gum;2/3/2025;3;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;2/3/2025;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;2/3/2025;1;5,5%;2,00 €;1,90 €
Jeux instantanés;2/3/2025;233;0,0%;931,00 €;931,00 €
Loto;2/3/2025;98;0,0%;693,20 €;693,20 €
MONETIQUE 0 %;2/3/2025;4;0,0%;90,00 €;90,00 €
Papier tubes et filtres;2/3/2025;33;20,0%;55,30 €;46,10 €
Tabac;2/3/2025;234;0,0%;3 288,35 €;3 288,35 €
Timbres poste;2/3/2025;5;0,0%;6,95 €;6,95 €
Accessoires fumeurs;3/3/2025;8;20,0%;19,40 €;16,18 €
Articles Divers Logista 20%;3/3/2025;7;20,0%;62,00 €;51,67 €
Bar 10%;3/3/2025;156;10,0%;277,00 €;251,71 €
Bar 20%;3/3/2025;159;20,0%;407,00 €;339,15 €
Boissons à emporter;3/3/2025;1;5,5%;2,50 €;2,37 €
Briquets;3/3/2025;3;20,0%;5,10 €;4,26 €
Chewing Gum;3/3/2025;3;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;3/3/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;3/3/2025;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;3/3/2025;2;5,5%;3,70 €;3,51 €
Jeux instantanés;3/3/2025;278;0,0%;1 148,00 €;1 148,00 €
Loto;3/3/2025;82;0,0%;952,90 €;952,90 €
MONETIQUE 0 %;3/3/2025;1;0,0%;107,00 €;107,00 €
Papier tubes et filtres;3/3/2025;58;20,0%;99,80 €;83,21 €
Tabac;3/3/2025;364;0,0%;5 148,25 €;5 148,25 €
Timbres poste;3/3/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;4/3/2025;6;20,0%;20,90 €;17,41 €
Articles Divers Logista 20%;4/3/2025;6;20,0%;45,00 €;37,50 €
Bar 10%;4/3/2025;150;10,0%;249,40 €;226,55 €
Bar 20%;4/3/2025;153;20,0%;428,60 €;357,13 €
Briquets;4/3/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;4/3/2025;3;20,0%;4,30 €;3,58 €
Cigarettes Electroniques;4/3/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;4/3/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;4/3/2025;9;5,5%;18,20 €;17,26 €
Jeux instantanés;4/3/2025;256;0,0%;942,00 €;942,00 €
Loto;4/3/2025;90;0,0%;1 025,20 €;1 025,20 €
MONETIQUE 0 %;4/3/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;4/3/2025;43;20,0%;81,30 €;67,77 €
Tabac;4/3/2025;378;0,0%;5 211,25 €;5 211,25 €
Timbres poste;4/3/2025;4;0,0%;5,56 €;5,56 €
Accessoires fumeurs;5/3/2025;5;20,0%;11,20 €;9,32 €
Articles Divers Logista 20%;5/3/2025;2;20,0%;25,40 €;21,17 €
Bar 10%;5/3/2025;131;10,0%;186,70 €;169,59 €
Bar 20%;5/3/2025;154;20,0%;348,30 €;290,27 €
Boissons à emporter;5/3/2025;3;5,5%;7,50 €;7,11 €
Briquets;5/3/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;5/3/2025;1;20,0%;1,30 €;1,08 €
Confiserie 5,5%;5/3/2025;2;5,5%;3,70 €;3,51 €
Jeux instantanés;5/3/2025;316;0,0%;1 368,00 €;1 368,00 €
Loto;5/3/2025;90;0,0%;1 155,00 €;1 155,00 €
MONETIQUE 0 %;5/3/2025;2;0,0%;60,00 €;60,00 €
Papier tubes et filtres;5/3/2025;41;20,0%;73,20 €;61,02 €
Tabac;5/3/2025;290;0,0%;4 005,10 €;4 005,10 €
TELEPHONIE 20.00 %;5/3/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;5/3/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;6/3/2025;6;20,0%;20,70 €;17,24 €
Articles Divers Logista 20%;6/3/2025;18;20,0%;177,80 €;148,17 €
Articles Divers Logista 5,5%;6/3/2025;1;5,5%;21,90 €;20,76 €
Bar 10%;6/3/2025;136;10,0%;206,10 €;187,27 €
Bar 20%;6/3/2025;161;20,0%;484,70 €;403,89 €
Boissons à emporter;6/3/2025;1;5,5%;2,50 €;2,37 €
Briquets;6/3/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;6/3/2025;2;20,0%;4,30 €;3,58 €
Confiserie 20%;6/3/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;6/3/2025;3;5,5%;6,60 €;6,26 €
Jeux instantanés;6/3/2025;413;0,0%;1 835,00 €;1 835,00 €
Loto;6/3/2025;97;0,0%;864,40 €;864,40 €
MONETIQUE 0 %;6/3/2025;4;0,0%;132,00 €;132,00 €
Papier tubes et filtres;6/3/2025;36;20,0%;64,70 €;53,93 €
